

MESSAGE: Pygame initialized for simulation.

RUN: run status: enemy: 5; fitness: -1.647755278982105; player life: 52.600000000000314; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: 2.132244721017873; player life: 90.40000000000009; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: 84.79745983353183; player life: 12.40000000000023; enemy life: 0; time: 628

RUN: run status: enemy: 5; fitness: 0.27224472101789043; player life: 71.80000000000027; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: 19.352244721017883; player life: 82.60000000000016; enemy life: 80.0; time: 1000

RUN: run status: enemy: 5; fitness: -6.668228248417403; player life: 0; enemy life: 100; time: 787

RUN: run status: enemy: 5; fitness: -2.2477552789821065; player life: 46.6000000000003; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: 0.7522447210178855; player life: 76.60000000000022; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: 11.221215102314822; player life: 0; enemy life: 80.0; time: 879

RUN: run status: enemy: 5; fitness: 84.65520676758503; player life: 7.600000000000232; enemy life: 0; time: 448

RUN: run status: enemy: 5; fitness: -1.1077552789821041; player life: 58.00000000000033; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: -5.707110264748875; player life: 0; enemy life: 100; time: 301

RUN: run status: enemy: 5; fitness: 49.232244721017885; player life: 21.40000000000024; enemy life: 40.0; time: 1000

RUN: run status: enemy: 5; fitness: -6.530877627725885; player life: 0; enemy life: 100; time: 686

RUN: run status: enemy: 5; fitness: -3.62775527898211; player life: 32.80000000000027; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: -4.227755278982111; player life: 26.800000000000253; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: -2.547755278982107; player life: 43.60000000000029; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: 85.26206684551656; player life: 11.20000000000023; enemy life: 0; time: 350

RUN: run status: enemy: 5; fitness: -2.727755278982108; player life: 41.80000000000029; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: -2.4877552789821076; player life: 44.200000000000294; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: -2.547755278982107; player life: 43.60000000000029; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: -2.6077552789821077; player life: 43.00000000000029; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: 89.46665872310228; player life: 52.00000000000031; enemy life: 0; time: 309

RUN: run status: enemy: 5; fitness: 0.0922447210178916; player life: 70.00000000000028; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: 2.5606496288999017; player life: 0; enemy life: 90.0; time: 626

RUN: run status: enemy: 5; fitness: 15.452244721017891; player life: 43.60000000000029; enemy life: 80.0; time: 1000

RUN: run status: enemy: 5; fitness: -0.027755278982106724; player life: 68.8000000000003; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: 3.9922447210178866; player life: 19.000000000000234; enemy life: 90.0; time: 1000

RUN: run status: enemy: 5; fitness: 58.95224472101789; player life: 28.600000000000257; enemy life: 30.0; time: 1000

RUN: run status: enemy: 5; fitness: -6.4967749901858625; player life: 0; enemy life: 100; time: 663

RUN: run status: enemy: 5; fitness: 5.372244721017889; player life: 32.80000000000027; enemy life: 90.0; time: 1000

RUN: run status: enemy: 5; fitness: 0.21224472101789083; player life: 71.20000000000027; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: 2.9722447210178657; player life: 98.80000000000001; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: 2.792244721017866; player life: 97.00000000000003; enemy life: 100; time: 1000

